"ym","品目分類","市区町村コード","市","項目","value"
"201912","米","38201","松山市","支出金額_複数単位",2162
"201912","米","38201","松山市","購入頻度_100世帯当たり",64
"201912","アイスクリーム・シャーベット","39201","高知市","支出金額_複数単位",756
"201912","アイスクリーム・シャーベット","39201","高知市","購入頻度_100世帯当たり",236
"201912","殺虫・防虫剤","39201","高知市","支出金額_複数単位",99
"201912","殺虫・防虫剤","39201","高知市","購入頻度_100世帯当たり",8
"201912","米","39201","高知市","支出金額_複数単位",1712
"201912","米","39201","高知市","購入頻度_100世帯当たり",69
"202001","アイスクリーム・シャーベット","36201","徳島市","支出金額_複数単位",484
"202001","アイスクリーム・シャーベット","36201","徳島市","購入頻度_100世帯当たり",186
"202001","殺虫・防虫剤","36201","徳島市","支出金額_複数単位",66
"202001","殺虫・防虫剤","36201","徳島市","購入頻度_100世帯当たり",7
"202001","米","36201","徳島市","支出金額_複数単位",1228
"202001","米","36201","徳島市","購入頻度_100世帯当たり",48
"202001","アイスクリーム・シャーベット","37201","高松市","支出金額_複数単位",372
"202001","アイスクリーム・シャーベット","37201","高松市","購入頻度_100世帯当たり",130
"202001","殺虫・防虫剤","37201","高松市","支出金額_複数単位",63
"202001","殺虫・防虫剤","37201","高松市","購入頻度_100世帯当たり",10
"202001","米","37201","高松市","支出金額_複数単位",813
"202001","米","37201","高松市","購入頻度_100世帯当たり",34
"202001","アイスクリーム・シャーベット","38201","松山市","支出金額_複数単位",514
"202001","アイスクリーム・シャーベット","38201","松山市","購入頻度_100世帯当たり",184
"202001","殺虫・防虫剤","38201","松山市","支出金額_複数単位",3
"202001","殺虫・防虫剤","38201","松山市","購入頻度_100世帯当たり",1
"202001","米","38201","松山市","支出金額_複数単位",1552
"202001","米","38201","松山市","購入頻度_100世帯当たり",52
"202001","アイスクリーム・シャーベット","39201","高知市","支出金額_複数単位",594
"202001","アイスクリーム・シャーベット","39201","高知市","購入頻度_100世帯当たり",194
"202001","殺虫・防虫剤","39201","高知市","支出金額_複数単位",7
"202001","殺虫・防虫剤","39201","高知市","購入頻度_100世帯当たり",2
"202001","米","39201","高知市","支出金額_複数単位",1548
"202001","米","39201","高知市","購入頻度_100世帯当たり",62
"202002","アイスクリーム・シャーベット","36201","徳島市","支出金額_複数単位",395
"202002","アイスクリーム・シャーベット","36201","徳島市","購入頻度_100世帯当たり",161
"202002","殺虫・防虫剤","36201","徳島市","支出金額_複数単位",49
"202002","殺虫・防虫剤","36201","徳島市","購入頻度_100世帯当たり",8
"202002","米","36201","徳島市","支出金額_複数単位",1327
"202002","米","36201","徳島市","購入頻度_100世帯当たり",61
"202002","アイスクリーム・シャーベット","37201","高松市","支出金額_複数単位",299
"202002","アイスクリーム・シャーベット","37201","高松市","購入頻度_100世帯当たり",133
"202002","殺虫・防虫剤","37201","高松市","支出金額_複数単位",44
"202002","殺虫・防虫剤","37201","高松市","購入頻度_100世帯当たり",8
"202002","米","37201","高松市","支出金額_複数単位",1170
"202002","米","37201","高松市","購入頻度_100世帯当たり",45
"202002","アイスクリーム・シャーベット","38201","松山市","支出金額_複数単位",439
"202002","アイスクリーム・シャーベット","38201","松山市","購入頻度_100世帯当たり",200
"202002","殺虫・防虫剤","38201","松山市","支出金額_複数単位",4
"202002","殺虫・防虫剤","38201","松山市","購入頻度_100世帯当たり",2
"202002","米","38201","松山市","支出金額_複数単位",1184
"202002","米","38201","松山市","購入頻度_100世帯当たり",46
"202002","アイスクリーム・シャーベット","39201","高知市","支出金額_複数単位",621
"202002","アイスクリーム・シャーベット","39201","高知市","購入頻度_100世帯当たり",246
"202002","殺虫・防虫剤","39201","高知市","支出金額_複数単位",118
"202002","殺虫・防虫剤","39201","高知市","購入頻度_100世帯当たり",7
"202002","米","39201","高知市","支出金額_複数単位",1887
"202002","米","39201","高知市","購入頻度_100世帯当たり",71
"202003","アイスクリーム・シャーベット","36201","徳島市","支出金額_複数単位",611
"202003","アイスクリーム・シャーベット","36201","徳島市","購入頻度_100世帯当たり",244
"202003","殺虫・防虫剤","36201","徳島市","支出金額_複数単位",168
"202003","殺虫・防虫剤","36201","徳島市","購入頻度_100世帯当たり",17
"202003","米","36201","徳島市","支出金額_複数単位",1837
"202003","米","36201","徳島市","購入頻度_100世帯当たり",76
"202003","アイスクリーム・シャーベット","37201","高松市","支出金額_複数単位",475
"202003","アイスクリーム・シャーベット","37201","高松市","購入頻度_100世帯当たり",203
"202003","殺虫・防虫剤","37201","高松市","支出金額_複数単位",167
"202003","殺虫・防虫剤","37201","高松市","購入頻度_100世帯当たり",17
"202003","米","37201","高松市","支出金額_複数単位",1150
"202003","米","37201","高松市","購入頻度_100世帯当たり",54
"202003","アイスクリーム・シャーベット","38201","松山市","支出金額_複数単位",524
"202003","アイスクリーム・シャーベット","38201","松山市","購入頻度_100世帯当たり",258
"202003","殺虫・防虫剤","38201","松山市","支出金額_複数単位",164
"202003","殺虫・防虫剤","38201","松山市","購入頻度_100世帯当たり",14
"202003","米","38201","松山市","支出金額_複数単位",1553
