ym,品目分類,市区町村コード,市,項目,value
202111,米,36201,徳島市,購入頻度_100世帯当たり,38
202111,米,37201,高松市,支出金額_複数単位,2050
202111,米,37201,高松市,購入頻度_100世帯当たり,46
202111,米,38201,松山市,支出金額_複数単位,1285
202111,米,38201,松山市,購入頻度_100世帯当たり,57
202111,米,39201,高知市,支出金額_複数単位,1806
202111,米,39201,高知市,購入頻度_100世帯当たり,71
202112,米,36201,徳島市,支出金額_複数単位,785
202112,米,36201,徳島市,購入頻度_100世帯当たり,32
202112,米,37201,高松市,支出金額_複数単位,1608
202112,米,37201,高松市,購入頻度_100世帯当たり,61
202112,米,38201,松山市,支出金額_複数単位,1357
202112,米,38201,松山市,購入頻度_100世帯当たり,58
202112,米,39201,高知市,支出金額_複数単位,1557
202112,米,39201,高知市,購入頻度_100世帯当たり,73
